filename,p1,p2,p3,p4,p5,p6
goe92.png,0.07728151232004166,0.11937224864959717,0.12576043605804443,0.03975599259138107,0.1395632028579712,-0.09873878955841064
griffith30SymSuction.png,-0.1578574925661087,0.17424263060092926,0.32037633657455444,0.2104218602180481,-0.3953686058521271,-0.1072097048163414
gs1.png,0.025030333548784256,0.14076249301433563,0.18789814412593842,0.09894028306007385,0.012992498464882374,-0.07047713547945023
gu255118.png,0.07956607639789581,0.2532898485660553,0.36540406942367554,0.160260871052742,0.06599875539541245,-0.14243924617767334
hh02.png,-0.01985131949186325,0.05107331648468971,0.03296434506773949,0.037951499223709106,-0.012101847678422928,-0.026786772534251213
hobie.png,0.0380999781191349,0.0843496173620224,0.07088596373796463,0.03350486606359482,0.08040784299373627,-0.05835295468568802
hobiesm.png,0.03775889053940773,0.08247311413288116,0.06901004165410995,0.03210214152932167,0.07985568791627884,-0.05771569907665253
hor04.png,0.005437709391117096,0.017401937395334244,-0.01886218972504139,-0.0012261500814929605,0.02469746023416519,-0.02104214020073414
hor07.png,0.058527346700429916,0.07094065845012665,0.051504723727703094,0.025042686611413956,0.10478059947490692,-0.06336051225662231
hor12.png,0.019799809902906418,0.11317622661590576,0.13073107600212097,0.07160957157611847,0.030202126130461693,-0.05718798190355301
hor20.png,-0.014342992566525936,0.16303963959217072,0.246815487742424,0.15637855231761932,-0.10617503523826599,-0.06915036588907242
hq010.png,-0.07633282989263535,0.02506040595471859,0.005307558458298445,0.030214501544833183,-0.09217369556427002,-0.013154767453670502
hq07.png,-0.04764248803257942,0.019227994605898857,-0.017648134380578995,0.009163126349449158,-0.04646564647555351,-0.009712360799312592
hq09.png,-0.06087332218885422,0.020985232666134834,-0.0105967428535223,0.016571493819355965,-0.0651237815618515,-0.009232312440872192
hq1010.png,-0.0530269555747509,0.03532356023788452,0.018422581255435944,0.03432537987828255,-0.05891096219420433,-0.014942266047000885
hq1012.png,-0.0546581894159317,0.05320395529270172,0.05809904634952545,0.059476543217897415,-0.0900326818227768,-0.018107788637280464
hq108.png,-0.03372526541352272,0.02210671454668045,-0.012920904904603958,0.011010904796421528,-0.026782577857375145,-0.013092992827296257
hq109.png,-0.04192967340350151,0.027166318148374557,-0.0005476470105350018,0.021310750395059586,-0.03950221836566925,-0.013448569923639297
hq1510.png,-0.02995794266462326,0.0494389645755291,0.040520407259464264,0.04291897267103195,-0.034072279930114746,-0.02245906926691532
hq1511.png,-0.03390039876103401,0.0573362372815609,0.057803284376859665,0.05491665378212929,-0.05436943843960762,-0.02123519405722618
hq1512.png,-0.034294188022613525,0.062008459120988846,0.07121353596448898,0.062913678586483,-0.06543947756290436,-0.02128150500357151
hq158.png,-0.019428376108407974,0.02738971635699272,-0.006984570529311895,0.012516254559159279,-0.005873791873455048,-0.019075457006692886
hq1585.png,-0.02562442421913147,0.032359324395656586,0.00426182197406888,0.021082870662212372,-0.017184190452098846,-0.0187176875770092
hq159.png,-0.02603898197412491,0.036247752606868744,0.012357121333479881,0.026409219950437546,-0.019901610910892487,-0.02095312997698784
hq159b.png,-0.02620365098118782,0.035770170390605927,0.011634888127446175,0.025907345116138458,-0.020095089450478554,-0.020716438069939613
hq17.png,0.03300193324685097,0.16169162094593048,0.23886865377426147,0.11357542872428894,0.010821008123457432,-0.09115799516439438
hq2010.png,-0.011562119238078594,0.06221755966544151,0.060327570885419846,0.049055684357881546,-0.013354342430830002,-0.029262954369187355
hq2012.png,-0.019331589341163635,0.07208527624607086,0.08768730610609055,0.0676945298910141,-0.045382894575595856,-0.03014756739139557
hq208.png,-0.006523653864860535,0.03629633039236069,0.0057745701633393764,0.016359003260731697,0.01320528145879507,-0.0272346381098032
hq209.png,-0.00791748147457838,0.051875147968530655,0.033419862389564514,0.031638409942388535,0.007568941451609135,-0.03112722747027874
hq2090sm.png,-0.00821597594767809,0.05098685994744301,0.032371364533901215,0.031304944306612015,0.006857079453766346,-0.03077421896159649
hq2195.png,-0.008702010847628117,0.060972873121500015,0.05442974343895912,0.0433199442923069,-0.000960284611210227,-0.03174632787704468
hq2510.png,0.00025981664657592773,0.07323448359966278,0.07052011042833328,0.0460001640021801,0.013238933868706226,-0.039509400725364685
hq2511.png,-0.00035457429476082325,0.0808560699224472,0.09366099536418915,0.060145165771245956,-0.003975217230618,-0.03948366641998291
hq2512.png,-0.001473958371207118,0.08781872689723969,0.11112558841705322,0.07073347270488739,-0.017034495249390602,-0.04092773050069809
hq258.png,0.00675592478364706,0.05082147195935249,0.02327749878168106,0.02116495743393898,0.03577333688735962,-0.03673896938562393
hq259.png,0.0017089303582906723,0.06403475999832153,0.0517687164247036,0.037740308791399,0.02062160335481167,-0.037739530205726624
hq2590sm.png,0.0014661150053143501,0.0677441656589508,0.05904088169336319,0.041235607117414474,0.018929915502667427,-0.03942905366420746
hq259b.png,0.0014661150053143501,0.0677441656589508,0.05904088169336319,0.041235607117414474,0.018929915502667427,-0.03942905366420746
hq300gd2.png,0.013358441181480885,0.15068650245666504,0.22756695747375488,0.1267014592885971,-0.04053578898310661,-0.07379404455423355
hq3010.png,0.008881742134690285,0.08573579788208008,0.08793094009160995,0.050426263362169266,0.027910415083169937,-0.04848717898130417
hq3011.png,0.009708638302981853,0.09290516376495361,0.1050141379237175,0.058086588978767395,0.019695637747645378,-0.04991608113050461
hq3012.png,0.010004254989326,0.10365132987499237,0.13009527325630188,0.07226623594760895,0.004712238907814026,-0.052407845854759216
hq3013.png,0.010195712558925152,0.11184331774711609,0.14918603003025055,0.08324941992759705,-0.007197972387075424,-0.0541144460439682
hq3014.png,0.008394389413297176,0.1192583292722702,0.1655218005180359,0.09650630503892899,-0.02110617235302925,-0.05605953186750412
hq3015.png,0.005728819407522678,0.12528695166110992,0.18065419793128967,0.10606330633163452,-0.03560024872422218,-0.05845990777015686
hq308.png,0.023125264793634415,0.06533113121986389,0.04325098171830177,0.025005243718624115,0.05795730650424957,-0.04665083438158035
hq309.png,0.013221950270235538,0.07481521368026733,0.0642547532916069,0.03751898556947708,0.04046277701854706,-0.04727023094892502
hq3510.png,0.02123964950442314,0.09674344956874847,0.1008552834391594,0.048544663935899734,0.051298946142196655,-0.05825469642877579
hq3512.png,0.022458516061306,0.11825799942016602,0.1449851393699646,0.07078786194324493,0.030929656699299812,-0.06405064463615417
