x,y
0.000000000000000000e+00,5.644354037940502167e-03
2.564102597534656525e-02,-2.763588726520538330e-02
5.128205195069313049e-02,-3.644264489412307739e-02
7.692307978868484497e-02,-2.635164558887481689e-02
1.025641039013862610e-01,-1.910613477230072021e-02
1.282051354646682739e-01,-1.039378345012664795e-02
1.538461595773696899e-01,-7.840037345886230469e-03
1.794871836900711060e-01,9.725868701934814453e-03
2.051282078027725220e-01,1.108546555042266846e-02
2.307692319154739380e-01,2.665185928344726562e-02
2.564102709293365479e-01,4.453751444816589355e-02
2.820512950420379639e-01,4.646950960159301758e-02
3.076923191547393799e-01,6.046591699123382568e-02
3.333333432674407959e-01,7.629035413265228271e-02
3.589743673801422119e-01,8.467850089073181152e-02
3.846153914928436279e-01,9.282538294792175293e-02
4.102564156055450439e-01,9.993007779121398926e-02
4.358974397182464600e-01,1.047451868653297424e-01
4.615384638309478760e-01,1.066654473543167114e-01
4.871794879436492920e-01,1.153558641672134399e-01
5.128205418586730957e-01,1.200519949197769165e-01
5.384615659713745117e-01,1.231539770960807800e-01
5.641025900840759277e-01,1.202185824513435364e-01
5.897436141967773438e-01,1.267649233341217041e-01
6.153846383094787598e-01,1.248619034886360168e-01
6.410256624221801758e-01,1.224634572863578796e-01
6.666666865348815918e-01,1.212387233972549438e-01
6.923077106475830078e-01,1.168815940618515015e-01
7.179487347602844238e-01,1.133204028010368347e-01
7.435897588729858398e-01,1.056978330016136169e-01
7.692307829856872559e-01,9.895354509353637695e-02
7.948718070983886719e-01,8.967909216880798340e-02
8.205128312110900879e-01,7.922836393117904663e-02
8.461538553237915039e-01,7.149701565504074097e-02
8.717948794364929199e-01,5.997785925865173340e-02
8.974359035491943359e-01,4.475367069244384766e-02
9.230769276618957520e-01,3.130598366260528564e-02
9.487179517745971680e-01,8.573703467845916748e-03
9.743589758872985840e-01,-1.399524509906768799e-02
1.000000000000000000e+00,-7.364718616008758545e-02
1.000000000000000000e+00,1.794355921447277069e-03
9.743589758872985840e-01,1.554656028747558594e-02
9.487179517745971680e-01,8.003391325473785400e-03
9.230769276618957520e-01,-8.388426154851913452e-03
8.974359035491943359e-01,-3.080627135932445526e-02
8.717948794364929199e-01,-3.852946311235427856e-02
8.461538553237915039e-01,-5.386227741837501526e-02
8.205128312110900879e-01,-6.206513196229934692e-02
7.948718070983886719e-01,-7.133911550045013428e-02
7.692307829856872559e-01,-7.552734017372131348e-02
7.435897588729858398e-01,-8.190861344337463379e-02
7.179487347602844238e-01,-7.746587693691253662e-02
6.923077106475830078e-01,-8.604013919830322266e-02
6.666666865348815918e-01,-8.305772393941879272e-02
6.410256624221801758e-01,-8.128365129232406616e-02
6.153846383094787598e-01,-8.011549711227416992e-02
5.897436141967773438e-01,-7.623171806335449219e-02
5.641025900840759277e-01,-7.241079956293106079e-02
5.384615659713745117e-01,-6.712477654218673706e-02
5.128205418586730957e-01,-6.132274493575096130e-02
4.871794879436492920e-01,-5.594112351536750793e-02
4.615384638309478760e-01,-4.878932982683181763e-02
4.358974397182464600e-01,-4.345474764704704285e-02
4.102564156055450439e-01,-4.023140668869018555e-02
3.846153914928436279e-01,-3.373646736145019531e-02
3.589743673801422119e-01,-3.235935419797897339e-02
3.333333432674407959e-01,-2.101371437311172485e-02
3.076923191547393799e-01,-1.909694820642471313e-02
2.820512950420379639e-01,-1.797162927687168121e-02
2.564102709293365479e-01,-3.755502402782440186e-03
2.307692319154739380e-01,5.407202988862991333e-03
2.051282078027725220e-01,1.053751446306705475e-02
1.794871836900711060e-01,2.115894295275211334e-02
1.538461595773696899e-01,2.877887152135372162e-02
1.282051354646682739e-01,3.422978520393371582e-02
1.025641039013862610e-01,3.413283824920654297e-02
7.692307978868484497e-02,4.372119531035423279e-02
5.128205195069313049e-02,5.216523259878158569e-02
2.564102597534656525e-02,5.421082302927970886e-02
0.000000000000000000e+00,5.602988228201866150e-02
